Date,Course,holes,putts,inside_10_att,inside_10_make,inside_10_make_pct,inside_10_pct_of_whole,10_to_20_att,inside_2ft_from_10_to_20,inside_2ft_from_10_to_20_success_pct,inside_2ft_from_10_to_20_pct_of_whole,20_plus_att,inside_10_pct_from_20_plus,inside_10_pct_from_20_plus_pct,inside_10_pct_from_20_plus_pct_of_whole,results_plus
5/1/26,Robert A. Black Golf Course,9,16,11,9,0.818181818,0.6875,4,3,0.75,0.25,1,1,1,0.0625,0.8125
5/30/26,Glenview Park Golf Club,16,28,16,14,0.875,0.571428571,5,4,0.8,0.178571429,7,4,0.571428571,0.25,0.785714286
11/15/25,Jackson Park Golf Course,18,32,23,17,0.739130435,0.71875,4,4,1,0.125,5,3,0.6,0.15625,0.75
5/10/26,Sydney Marovitz Golf Course,9,19,12,9,0.75,0.631578947,3,3,1,0.157894737,4,2,0.5,0.210526316,0.736842105
5/28/26,Robert A. Black Golf Course,9,15,11,8,0.727272727,0.733333333,2,1,0.5,0.133333333,2,2,1,0.133333333,0.733333333
5/14/26,Robert A. Black Golf Course,8,16,11,8,0.727272727,0.6875,3,2,0.666666667,0.1875,2,1,0.5,0.125,0.6875
4/30/26,Robert A. Black Golf Course,9,20,13,9,0.692307692,0.65,3,3,1,0.15,4,1,0.25,0.2,0.65
10/24/25,Sydney Marovitz Golf Course,9,17,12,9,0.75,0.705882353,2,0,0,0.117647059,3,2,0.666666667,0.176470588,0.647058824
10/16/25,Robert A. Black Golf Course,9,19,12,9,0.75,0.631578947,4,3,0.75,0.210526316,3,0,0,0.157894737,0.631578947
5/21/26,Robert A. Black Golf Course,9,20,12,10,0.833333333,0.6,3,1,0.333333333,0.15,5,0,0,0.25,0.55
5/31/26,Sydney Marovitz Golf Course,9,23,14,9,0.642857143,0.608695652,1,1,1,0.043478261,8,1,0.125,0.347826087,0.47826087
