Date,Course,holes,putts,putts_over_1ft,inside_10_att,inside_10_make,inside_10_make_pct,inside_10_pct_of_whole,10_to_20_att,inside_2ft_from_10_to_20,inside_2ft_from_10_to_20_success_pct,inside_2ft_from_10_to_20_pct_of_whole,20_plus_att,inside_10_pct_from_20_plus,inside_10_pct_from_20_plus_pct,inside_10_pct_from_20_plus_pct_of_whole,results_plus
5/1/26,Robert A. Black Golf Course,9,16,13,8,6,0.75,0.615384615,4,3,0.75,0.307692308,1,1,1,0.076923077,0.769230769
5/30/26,Glenview Park Golf Club,16,28,26,14,12,0.857142857,0.538461538,5,4,0.8,0.192307692,7,4,0.571428571,0.269230769,0.769230769
11/15/25,Jackson Park Golf Course,18,32,24,15,9,0.6,0.625,4,4,1,0.166666667,5,3,0.6,0.208333333,0.666666667
5/10/26,Sydney Marovitz Golf Course,9,19,15,8,5,0.625,0.533333333,3,3,1,0.2,4,2,0.5,0.266666667,0.666666667
5/28/26,Robert A. Black Golf Course,9,15,10,6,3,0.5,0.6,2,1,0.5,0.2,2,2,1,0.2,0.6
10/16/25,Robert A. Black Golf Course,9,19,17,10,7,0.7,0.588235294,4,3,0.75,0.235294118,3,0,0,0.176470588,0.588235294
5/14/26,Robert A. Black Golf Course,8,16,12,7,4,0.571428571,0.583333333,3,2,0.666666667,0.25,2,1,0.5,0.166666667,0.583333333
10/24/25,Sydney Marovitz Golf Course,9,17,13,8,5,0.625,0.615384615,2,0,0,0.153846154,3,2,0.666666667,0.230769231,0.538461538
4/30/26,Robert A. Black Golf Course,9,20,14,7,3,0.428571429,0.5,3,3,1,0.214285714,4,1,0.25,0.285714286,0.5
5/21/26,Robert A. Black Golf Course,9,20,17,9,7,0.777777778,0.529411765,3,1,0.333333333,0.176470588,5,0,0,0.294117647,0.470588235
5/31/26,Sydney Marovitz Golf Course,9,23,18,9,4,0.444444444,0.5,1,1,1,0.055555556,8,1,0.125,0.444444444,0.333333333
