Date,Practice,Course,Hole,Putt #,Distance to Hole,Down/Up,Left/Right,Distance Left,Miss Side,Is High,Total Putts,Head Up,Good Speed Read,Good Line Read,Good Speed Execution,Good Line Execution
10/16/2025,0,Robert A. Black Golf Course,1,1,8,1,2,0,,0,1,1,1,1,1,1
10/16/2025,0,Robert A. Black Golf Course,2,1,26,1,-2,3,0,0,2,1,0,1,1,1
10/16/2025,0,Robert A. Black Golf Course,2,2,3,0,-0.5,0,,0,1,1,1,1,1,1
10/16/2025,0,Robert A. Black Golf Course,3,1,16,1,-2,0.5,-1,1,2,1,1,0,1,1
10/16/2025,0,Robert A. Black Golf Course,3,2,0.5,0,0,0,,1,1,1,1,1,1,1
10/16/2025,0,Robert A. Black Golf Course,4,1,66,-2,3,11,0,0,3,1,1,1,0,1
10/16/2025,0,Robert A. Black Golf Course,4,2,11,-1,2,2,1,1,2,1,1,1,1,0
10/16/2025,0,Robert A. Black Golf Course,4,3,2,,,,,1,1,1,,,,
10/16/2025,0,Robert A. Black Golf Course,5,1,15,2,3,3,-1,0,2,1,0,1,0,0
10/16/2025,0,Robert A. Black Golf Course,5,2,3,,,,,1,1,1,,,,
10/16/2025,0,Robert A. Black Golf Course,6,1,5,1,-1,2,-0.5,1,2,1,1,1,0,1
10/16/2025,0,Robert A. Black Golf Course,6,2,2,,,,,1,1,1,,,,
10/16/2025,0,Robert A. Black Golf Course,7,1,17,1,-1,1,-1,1,2,1,1,0,1,1
10/16/2025,0,Robert A. Black Golf Course,7,2,1,,,,,1,1,1,,,,
10/16/2025,0,Robert A. Black Golf Course,8,1,43,-3,1,10,,0,3,1,0,1,0,1
10/16/2025,0,Robert A. Black Golf Course,8,2,10,-3,-1,2,-1,1,2,1,0,1,0,1
10/16/2025,0,Robert A. Black Golf Course,8,3,2,,,,,1,1,1,,,,
10/16/2025,0,Robert A. Black Golf Course,9,1,8,-1,-1,2,-1,1,2,1,1,0,1,1
10/16/2025,0,Robert A. Black Golf Course,9,2,2,,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,1,1,6,-1,-1,0,,0,1,1,1,1,1,1
10/24/2025,0,Sydney Marovitz Golf Course,2,1,35,0,-1,2,0.5,0,2,1,1,0,0,0
10/24/2025,0,Sydney Marovitz Golf Course,2,2,2,,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,3,1,16,2,2,3,-1,0,2,1,1,0,0,0
10/24/2025,0,Sydney Marovitz Golf Course,3,2,2,-1,,,,1,1,1,1,1,1,1
10/24/2025,0,Sydney Marovitz Golf Course,4,1,15,-1,2,6,1,1,2,1,1,1,0,1
10/24/2025,0,Sydney Marovitz Golf Course,4,2,6,-1,0,0,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,5,1,2,-2,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,6,1,5,-1,2,1,,0,2,1,1,0,0,1
10/24/2025,0,Sydney Marovitz Golf Course,6,2,1,,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,7,1,84,3,-4,25,-1,1,3,1,0,1,0,1
10/24/2025,0,Sydney Marovitz Golf Course,7,2.5,25,,,,,1,2,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,7,3,1,,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,8,1,10,0,2,1,-1,0,2,1,1,1,0,1
10/24/2025,0,Sydney Marovitz Golf Course,8,2,1,,,,,1,1,1,,,,
10/24/2025,0,Sydney Marovitz Golf Course,9,1,8,1,1,1,-1,0,2,1,0,0,0,1
10/24/2025,0,Sydney Marovitz Golf Course,9,2,1,,,,,1,1,1,,,1,
11/15/2025,0,Jackson Park Golf Course,1,1,18,-3,-3,2,0,0,2,1,0,1,,1
11/15/2025,0,Jackson Park Golf Course,1,2,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,2,1,22,-2,-2,2,-1,1,2,1,1,0,1,1
11/15/2025,0,Jackson Park Golf Course,2,2,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,3,1,6,1,-1,2,-1,1,2,1,1,0,1,1
11/15/2025,0,Jackson Park Golf Course,3,2,2,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,4,1,1,,,,,1,1,1,,,,
11/15/2025,0,Jackson Park Golf Course,5,1,39,-2,-3,4,-1,1,3,1,1,1,0,1
11/15/2025,0,Jackson Park Golf Course,5,2,4,,,,,1,2,1,,,,
