Putt ID,Date,Practice,Course,Hole,Putt #,Distance to Hole,Down/Up,Left/Right,Distance Left,Miss Side,Is High,Total Putts,Head Up,Good Speed Read,Good Line Read,Good Speed Execution,Good Line Execution
1,10/16/2025,0,Robert A. Black Golf Course,1,1,8,1,2,0,,0,1,1,1,1,1,1
2,10/16/2025,0,Robert A. Black Golf Course,2,1,26,1,-2,3,0,0,2,1,0,1,1,1
3,10/16/2025,0,Robert A. Black Golf Course,2,2,3,0,-0.5,0,,0,1,1,1,1,1,1
4,10/16/2025,0,Robert A. Black Golf Course,3,1,16,1,-2,0.5,-1,1,2,1,1,0,1,1
5,10/16/2025,0,Robert A. Black Golf Course,3,2,0.5,0,0,0,,1,1,1,1,1,1,1
6,10/16/2025,0,Robert A. Black Golf Course,4,1,66,-2,3,11,0,0,3,1,1,1,0,1
7,10/16/2025,0,Robert A. Black Golf Course,4,2,11,-1,2,2,1,1,2,1,1,1,1,0
8,10/16/2025,0,Robert A. Black Golf Course,4,3,2,,,,,1,1,1,1,1,1,1
9,10/16/2025,0,Robert A. Black Golf Course,5,1,15,2,3,3,-1,0,2,1,0,1,0,0
10,10/16/2025,0,Robert A. Black Golf Course,5,2,3,,,,,1,1,1,1,1,1,1
11,10/16/2025,0,Robert A. Black Golf Course,6,1,5,1,-1,2,-0.5,1,2,1,1,1,0,1
12,10/16/2025,0,Robert A. Black Golf Course,6,2,2,,,,,1,1,1,1,1,1,1
13,10/16/2025,0,Robert A. Black Golf Course,7,1,17,1,-1,1,-1,1,2,1,1,0,1,1
14,10/16/2025,0,Robert A. Black Golf Course,7,2,1,,,,,1,1,1,1,1,1,1
15,10/16/2025,0,Robert A. Black Golf Course,8,1,43,-3,1,10,,0,3,1,0,1,0,1
16,10/16/2025,0,Robert A. Black Golf Course,8,2,10,-3,-1,2,-1,1,2,1,0,1,0,1
17,10/16/2025,0,Robert A. Black Golf Course,8,3,2,,,,,1,1,1,1,1,1,1
18,10/16/2025,0,Robert A. Black Golf Course,9,1,8,-1,-1,2,-1,1,2,1,1,0,1,1
19,10/16/2025,0,Robert A. Black Golf Course,9,2,2,,,,,1,1,1,1,1,1,1
20,10/24/2025,0,Sydney Marovitz Golf Course,1,1,6,-1,-1,0,,0,1,1,1,1,1,1
21,10/24/2025,0,Sydney Marovitz Golf Course,2,1,35,0,-1,2,0.5,0,2,1,1,0,0,0
22,10/24/2025,0,Sydney Marovitz Golf Course,2,2,2,,,,,1,1,1,1,1,1,1
23,10/24/2025,0,Sydney Marovitz Golf Course,3,1,16,2,2,3,-1,0,2,1,1,0,0,0
24,10/24/2025,0,Sydney Marovitz Golf Course,3,2,2,-1,,,,1,1,1,1,1,1,1
25,10/24/2025,0,Sydney Marovitz Golf Course,4,1,15,-1,2,6,1,1,2,1,1,1,0,1
26,10/24/2025,0,Sydney Marovitz Golf Course,4,2,6,-1,0,0,,1,1,1,1,1,1,1
27,10/24/2025,0,Sydney Marovitz Golf Course,5,1,2,-2,,,,1,1,1,1,1,1,1
28,10/24/2025,0,Sydney Marovitz Golf Course,6,1,5,-1,2,1,,0,2,1,1,0,0,1
29,10/24/2025,0,Sydney Marovitz Golf Course,6,2,1,,,,,1,1,1,1,1,1,1
30,10/24/2025,0,Sydney Marovitz Golf Course,7,1,84,3,-4,25,-1,1,3,1,0,1,0,1
31,10/24/2025,0,Sydney Marovitz Golf Course,7,2.5,25,,,,,1,2,1,1,1,1,1
32,10/24/2025,0,Sydney Marovitz Golf Course,7,3,1,,,,,1,1,1,1,1,1,1
33,10/24/2025,0,Sydney Marovitz Golf Course,8,1,10,0,2,1,-1,0,2,1,1,1,0,1
34,10/24/2025,0,Sydney Marovitz Golf Course,8,2,1,,,,,1,1,1,1,1,1,1
35,10/24/2025,0,Sydney Marovitz Golf Course,9,1,8,1,1,1,-1,0,2,1,0,0,0,1
36,10/24/2025,0,Sydney Marovitz Golf Course,9,2,1,,,,,1,1,1,1,1,1,1
37,11/15/2025,0,Jackson Park Golf Course,1,1,18,-3,-3,2,0,0,2,1,0,1,,1
38,11/15/2025,0,Jackson Park Golf Course,1,2,2,,,,,1,1,1,1,1,1,1
39,11/15/2025,0,Jackson Park Golf Course,2,1,22,-2,-2,2,-1,1,2,1,1,0,1,1
40,11/15/2025,0,Jackson Park Golf Course,2,2,2,,,,,1,1,1,1,1,1,1
41,11/15/2025,0,Jackson Park Golf Course,3,1,6,1,-1,2,-1,1,2,1,1,0,1,1
42,11/15/2025,0,Jackson Park Golf Course,3,2,2,,,,,1,1,1,1,1,1,1
43,11/15/2025,0,Jackson Park Golf Course,4,1,1,,,,,1,1,1,1,1,1,1
44,11/15/2025,0,Jackson Park Golf Course,5,1,39,-2,-3,4,-1,1,3,1,1,1,0,1
45,11/15/2025,0,Jackson Park Golf Course,5,2,4,,,,,1,2,1,,,,
46,11/15/2025,0,Jackson Park Golf Course,5,3,1,,,,,1,1,1,1,1,1,1
47,11/15/2025,0,Jackson Park Golf Course,6,1,45,2,3,5,,0,3,1,1,0,1,0
48,11/15/2025,0,Jackson Park Golf Course,6,2,5,-1,-1,1,-1,1,2,1,1,0,1,1
49,11/15/2025,0,Jackson Park Golf Course,6,3,1,,,,,1,1,1,1,1,1,1
50,11/15/2025,0,Jackson Park Golf Course,7,1,4,-1,-1,0,,0,1,1,1,1,1,1
51,11/15/2025,0,Jackson Park Golf Course,8,1,15,-1,1,0,,0,1,1,1,1,1,1
52,11/15/2025,0,Jackson Park Golf Course,9,1,15,1,-1,2,-2,1,2,1,1,0,1,1
53,11/15/2025,0,Jackson Park Golf Course,9,2,2,,,,,1,1,1,1,1,1,1
54,11/15/2025,0,Jackson Park Golf Course,10,1,6,1,-1,0,,0,1,1,1,1,1,1
55,11/15/2025,0,Jackson Park Golf Course,11,1,30,-2,3,1,0,0,2,1,1,1,1,1
56,11/15/2025,0,Jackson Park Golf Course,11,2,1,,,,,1,1,1,1,1,1,1
57,11/15/2025,0,Jackson Park Golf Course,12,1,3,0,-1,1,-1,1,2,1,1,1,1,0
58,11/15/2025,0,Jackson Park Golf Course,12,2,1,,,,,1,1,1,1,1,1,1
59,11/15/2025,0,Jackson Park Golf Course,13,1,5,1,-1,1,1,0,2,1,1,0,1,0
60,11/15/2025,0,Jackson Park Golf Course,13,2,1,,,,,1,1,1,1,1,1,1
61,11/15/2025,0,Jackson Park Golf Course,14,1,7,0,-1,,,0,1,1,1,1,1,1
62,11/15/2025,0,Jackson Park Golf Course,15,1,2,,,,,1,1,1,1,1,1,1
63,11/15/2025,0,Jackson Park Golf Course,16,1,6,1,1,1,1,1,2,1,1,0,1,1
64,11/15/2025,0,Jackson Park Golf Course,16,2,1,,,,,1,1,1,1,1,1,1
65,11/15/2025,0,Jackson Park Golf Course,17,1,25,2,3,2,0,0,2,1,1,0,0,0
66,11/15/2025,0,Jackson Park Golf Course,17,2,2,,,,,1,1,1,1,1,1,1
67,11/15/2025,0,Jackson Park Golf Course,18,1,18,-1,-3,1,-1,1,2,1,1,1,1,1
